Time,BM7,BM8,BM9,BM10
0.3403,1,4,8,1
0.3418,1,3,3,3
0.3424,8,2,6,2
0.343,1,7,3,2
0.3436,0,3,4,3
0.3441,0,0,4,2
0.3456,2,3,6,0
0.3465,5,1,5,5
0.3479,0,1,9,5
0.3504,2,2,2,5
0.3722,1,2,6,1
0.3728,4,4,4,2
0.3734,0,2,4,2
0.374,5,3,4,9
0.3746,2,3,2,6
0.3752,5,5,7,4
0.3758,2,4,8,5
0.3764,0,4,2,9
0.377,3,2,3,5
0.3776,5,4,3,5
0.3781,1,7,4,4
0.3787,0,0,5,11
0.3792,1,3,4,8
0.3797,9,5,2,6
0.3802,3,5,2,4
0.3812,4,3,4,8
0.382,7,2,4,5
0.3825,6,5,9,5
0.3831,2,10,4,6
0.3837,0,3,8,6
0.3843,4,5,2,3
0.3848,2,7,5,2
0.3856,5,9,6,6
0.3861,2,5,6,7
0.3867,3,3,4,7
0.3872,4,3,5,3
0.3878,2,5,5,3
0.3883,0,3,7,5
0.3889,4,4,3,7
0.3895,7,3,6,5
0.3901,8,5,8,1
0.3906,2,3,7,5
0.3912,6,2,0,5
0.3917,4,1,6,4
0.3923,7,2,7,5
0.3929,3,1,8,2
0.3935,6,5,3,6
0.394,6,0,6,1
0.3946,7,7,5,9
0.3952,6,3,9,2
0.3958,2,3,4,10
0.3964,5,2,6,0
0.3969,7,0,5,5
0.3975,4,7,5,4
0.3981,2,4,3,10
0.3987,5,3,7,9
0.3993,8,4,6,6
0.3998,5,8,5,5
0.4003,4,0,6,3
0.4008,8,2,2,5
0.4014,2,3,10,8
0.4021,7,9,5,6
0.4028,5,3,5,11
0.4033,4,3,4,4
0.4039,6,1,2,10
0.4045,5,3,8,4
0.4051,1,4,0,9
0.4057,4,3,8,8
0.4062,8,1,6,7
0.4068,2,6,6,4
0.4073,4,6,4,8
0.4079,2,3,3,9
0.4084,6,3,7,5
0.4089,8,6,8,4
0.4096,3,4,7,11
0.4102,5,2,11,8
0.4107,8,4,0,7
0.4113,4,2,7,7
0.4118,3,5,4,8
0.4124,4,3,5,6
0.4129,1,6,8,5
0.4135,5,5,4,7
0.4141,2,1,2,6
0.4148,4,4,6,5
0.4153,0,4,7,10
0.4159,6,3,5,7
0.4165,5,2,9,5
0.417,3,3,7,5
0.4176,6,4,7,5
0.4182,5,2,5,0
0.4187,3,3,8,6
0.4193,8,3,8,11
0.4199,6,5,7,5
0.4204,7,5,8,6
0.421,5,3,11,6
0.4216,2,6,5,8
0.4222,4,3,8,8
0.4227,9,0,6,5
0.4233,7,2,5,8
0.4238,7,2,7,2
0.4244,6,4,8,6
0.425,5,5,9,4
0.4256,3,5,6,4
0.4262,5,2,6,10
0.4268,3,2,6,3
0.4273,6,3,7,6
0.4279,3,4,6,8
0.4285,3,0,6,10
0.429,5,3,4,9
0.4297,6,4,8,9
0.4303,4,6,2,2
0.431,2,4,6,14
0.4315,6,1,7,6
0.4321,9,4,4,6
0.4327,4,4,7,1
0.4333,1,2,8,10
0.4339,1,2,5,6
0.4345,3,4,5,4
0.4351,5,6,8,5
0.4357,2,2,5,9
0.4363,6,4,5,6
0.4368,4,2,5,3
0.4374,7,2,6,7
0.438,4,3,10,3
0.4386,3,1,10,4
0.4393,6,4,8,9
0.4398,6,2,5,2
0.4404,3,3,9,5
0.4409,2,4,8,6
0.4415,4,5,6,8
0.4421,8,1,5,4
0.4426,3,2,11,8
0.4432,5,3,6,7
0.4438,1,5,8,6
0.4443,6,6,5,5
0.4449,4,4,11,7
0.4455,9,2,8,5
0.4461,3,5,8,8
0.4466,8,3,7,3
0.4472,4,4,10,4
0.4478,5,2,5,9
0.4483,1,4,11,4
0.4488,6,3,5,4
0.4495,5,2,10,7
0.4501,1,3,5,4
0.4507,5,3,9,3
0.4513,4,3,4,6
0.4519,5,3,10,4
0.4524,3,0,6,4
0.453,5,7,6,8
0.4536,5,4,7,5
0.4541,4,4,6,8
0.4546,2,7,9,5
0.4552,3,4,4,7
0.4558,9,4,6,4
0.4565,6,9,11,4
0.4571,3,3,3,3
0.4577,0,5,6,5
0.4583,7,6,7,3
0.4589,3,7,5,4
0.4595,4,3,9,10
0.4602,3,3,5,2
0.4611,5,6,6,3
0.4619,4,9,5,4
0.4627,3,5,7,10
0.4634,5,5,11,5
0.4639,5,8,6,6
0.4645,7,8,8,5
0.465,4,4,7,8
0.4657,4,10,6,6
0.4663,7,6,7,5
0.4669,3,7,6,2
0.4674,0,5,5,6
0.468,5,3,7,6
0.4686,5,9,6,4
0.4692,6,9,5,3
0.4698,7,7,9,6
0.4704,3,3,8,6
0.4709,3,7,5,6
0.4715,9,0,8,3
0.472,2,5,10,6
0.4726,7,6,11,4
0.4733,5,5,7,7
0.4739,7,4,5,9
0.4744,6,8,6,3
0.475,5,8,8,8
0.4755,4,9,8,7
0.4761,9,9,4,1
0.4766,5,5,5,7
0.4772,5,7,7,8
0.4778,2,4,5,1
0.4785,5,9,8,6
0.479,7,10,6,8
0.4796,5,6,7,11
0.4801,2,5,7,4
0.4807,9,6,7,5
0.4813,8,8,7,2
0.4818,2,7,6,9
0.4824,3,6,7,3
0.483,5,10,5,7
0.4835,7,7,10,8
0.4841,4,7,7,8
0.4846,4,5,7,4
0.4853,10,10,7,10
0.4859,5,7,9,8
0.4864,6,5,6,3
0.4869,2,8,6,8
0.4875,9,5,4,3
0.4882,6,8,9,7
0.4888,4,7,6,9
0.4894,3,7,7,7
0.49,4,8,5,5
0.4906,5,6,11,4
0.4912,5,5,5,6
0.4917,6,4,6,4
0.4923,7,8,6,4
0.4929,8,9,11,8
0.4934,6,5,8,7
0.4941,10,5,3,7
0.4946,12,2,3,6
0.4952,9,6,9,9
0.4958,4,6,7,8
0.4965,6,6,5,3
0.497,8,3,6,6
0.4976,6,6,6,5
0.4982,4,8,5,8
0.4987,7,4,7,6
0.4992,8,4,7,6
0.4998,4,12,6,5
0.5004,2,6,5,11
0.501,7,7,4,9
0.5016,6,5,6,6
0.5022,3,7,9,1
0.5028,5,8,7,8
0.5034,3,4,4,8
0.5039,7,8,8,4
0.5045,4,10,5,7
0.5052,3,5,8,10
0.5057,5,4,6,4
0.5063,8,6,4,7
0.5068,3,8,5,9
0.5074,5,6,5,8
0.5079,5,6,4,6
0.5085,6,8,5,6
0.509,9,4,5,2
0.5097,6,4,12,4
0.5102,7,6,4,5
0.5108,4,6,8,4
0.5113,7,5,4,8
0.5119,6,8,8,8
